date,bdi,bci,bpi,bsi,bunker_fuel,coal_index,indo_coal_index,dxy,seaborne_volume,mti_india,spot_freight_rate
2025-08-28,2017,2798,1899,1578,638.21,137.42,57.93,103.59,710746,0.308,21849
2025-08-29,2025,2790,1904,1559,636.66,138.72,58.33,103.54,723554,0.313,21882
2025-08-30,2025,2814,1905,1592,639.38,139.94,59.06,103.44,713046,0.31,21896
2025-08-31,2025,2840,1892,1585,626.2,138.79,58.38,103.7,718918,0.306,21595
2025-09-01,2024,2786,1903,1582,644.08,137.34,57.5,103.99,714039,0.313,21822
2025-09-02,1986,2734,1874,1561,636.73,139.11,58.53,103.63,731506,0.317,21513
2025-09-03,1940,2725,1845,1533,641.54,140.0,58.46,103.84,734575,0.32,21132
2025-09-04,1963,2732,1860,1543,634.46,138.32,58.13,103.47,724638,0.313,21280
2025-09-05,1979,2717,1893,1522,640.68,138.93,58.34,103.57,728359,0.317,21373
2025-09-06,1979,2747,1849,1528,635.29,139.21,58.41,103.89,714480,0.309,21295
2025-09-07,1979,2717,1873,1536,637.22,138.54,58.15,104.13,726957,0.315,21235
2025-09-08,2019,2772,1901,1575,646.54,140.11,58.28,103.94,730436,0.321,21880
2025-09-09,2079,2876,1987,1628,639.6,139.47,58.41,103.84,758128,0.33,22528
2025-09-10,2112,2857,1973,1639,641.46,140.14,58.89,103.93,721779,0.315,22696
2025-09-11,2111,2861,1972,1649,644.17,138.96,58.41,103.71,748515,0.328,22868
2025-09-12,2126,2917,1989,1649,643.28,139.54,58.3,104.12,744813,0.326,22928
2025-09-13,2126,2903,1967,1651,642.49,140.83,59.53,104.21,738617,0.323,22946
2025-09-14,2126,2943,1991,1641,643.65,139.86,58.48,103.97,754360,0.33,22874
2025-09-15,2153,2944,2012,1668,651.2,142.09,59.97,104.0,741452,0.328,23332
2025-09-16,2154,2930,2027,1664,642.99,140.09,58.97,104.18,742576,0.325,22972
2025-09-17,2180,3052,2054,1689,644.3,140.84,58.96,104.07,739100,0.324,23465
2025-09-18,2205,3036,2101,1733,647.68,141.68,60.04,104.18,752810,0.332,23677
2025-09-19,2203,3042,2085,1707,648.26,139.45,58.21,104.64,752475,0.332,23892
2025-09-20,2203,2997,2062,1750,648.94,139.23,58.75,104.21,736184,0.325,23836
2025-09-21,2203,3024,2057,1724,647.4,139.59,58.93,104.21,730173,0.321,23773
2025-09-22,2172,3001,2049,1696,641.55,142.5,59.65,104.19,742253,0.324,23486
2025-09-23,2200,3001,2048,1706,651.64,140.81,59.56,104.5,737194,0.327,23714
2025-09-24,2240,3102,2133,1756,642.28,144.04,60.42,104.34,745463,0.326,24193
2025-09-25,2266,3109,2148,1761,647.72,141.04,59.32,104.28,759369,0.334,24492
2025-09-26,2259,3109,2116,1763,644.38,141.9,59.68,104.71,743311,0.326,24249
2025-09-27,2259,3099,2098,1793,647.14,143.38,60.18,104.76,748337,0.329,24410
2025-09-28,2259,3173,2144,1761,648.86,143.96,60.71,104.38,750219,0.331,24262
2025-09-29,2220,3063,2085,1745,649.18,144.13,60.77,104.16,758989,0.335,23922
2025-09-30,2134,2913,2025,1656,649.86,143.39,59.7,104.77,728892,0.322,23045
2025-10-01,1980,2757,1837,1544,654.36,143.32,60.59,104.46,746142,0.332,21639
2025-10-02,1909,2598,1785,1510,650.62,143.0,59.56,104.78,755161,0.334,20855
2025-10-03,1901,2630,1787,1475,648.49,143.3,60.5,104.26,765879,0.338,20948
2025-10-04,1901,2565,1788,1505,653.03,142.08,60.01,104.86,749780,0.333,20869
2025-10-05,1901,2584,1780,1491,654.12,141.92,59.28,104.47,736745,0.328,20910
2025-10-06,1932,2672,1825,1500,645.95,142.84,59.87,104.89,762508,0.335,21062
2025-10-07,1947,2709,1814,1526,652.62,142.78,59.64,104.77,750749,0.333,21191
2025-10-08,1963,2714,1843,1543,653.26,142.6,59.83,104.61,745986,0.331,21516
2025-10-09,1923,2650,1809,1507,650.03,143.85,60.32,104.75,752410,0.333,20913
2025-10-10,1936,2663,1828,1491,656.15,144.21,60.8,104.99,757567,0.338,21292
2025-10-11,1936,2627,1831,1501,651.06,143.44,60.64,104.91,754114,0.334,21102
2025-10-12,1936,2650,1803,1507,652.27,144.93,61.29,105.03,738843,0.328,21361
2025-10-13,2144,2945,1992,1671,651.46,142.41,59.64,105.33,770595,0.341,23369
2025-10-14,2022,2822,1920,1585,652.35,143.45,60.19,104.65,775087,0.344,22128
2025-10-15,1997,2766,1882,1560,648.67,143.02,59.56,105.32,769557,0.339,21903
2025-10-16,2046,2771,1912,1580,647.68,141.96,59.38,105.04,752355,0.331,22169
2025-10-17,2069,2865,1968,1618,658.5,143.84,60.7,104.87,762396,0.341,22696
2025-10-18,2069,2844,1947,1621,650.15,143.89,60.92,104.81,765012,0.338,22543
2025-10-19,2069,2835,1963,1621,649.83,145.61,60.79,105.06,771718,0.341,22557
2025-10-20,2071,2876,1948,1628,645.94,144.81,60.64,105.31,773055,0.34,22600
2025-10-21,2094,2921,1999,1643,651.4,143.24,60.15,105.12,759658,0.336,22840
2025-10-22,2092,2915,1993,1637,649.17,146.2,61.49,105.48,768435,0.339,22768
2025-10-23,2057,2813,1930,1604,659.69,145.65,60.93,104.91,772789,0.347,22444
2025-10-24,1991,2738,1886,1533,657.62,145.09,61.07,105.22,783363,0.35,21835
2025-10-25,1991,2758,1881,1558,651.8,144.36,60.49,105.0,776425,0.344,21797
2025-10-26,1991,2777,1892,1555,662.21,143.7,60.35,105.34,777832,0.35,21981
2025-10-27,1976,2713,1843,1545,657.87,144.36,60.8,105.47,771327,0.345,21655
2025-10-28,1950,2685,1843,1506,653.4,145.89,61.28,105.23,785126,0.349,21639
2025-10-29,1961,2673,1859,1517,645.88,146.76,61.51,104.82,775638,0.341,21540
2025-10-30,1983,2701,1838,1559,662.73,146.48,61.49,105.4,763435,0.344,21924
2025-10-31,1966,2737,1830,1533,649.92,144.52,60.67,105.47,786569,0.348,21559
2025-11-01,1966,2754,1817,1542,649.08,143.95,60.35,105.49,779990,0.344,21507
2025-11-02,1966,2711,1844,1534,658.47,145.27,60.94,105.67,769042,0.344,21575
2025-11-03,1945,2714,1839,1517,663.47,143.42,60.72,105.23,769124,0.347,21531
2025-11-04,1958,2713,1863,1538,659.81,145.57,61.31,105.6,777316,0.349,21633
2025-11-05,2003,2745,1884,1556,656.96,145.15,60.87,105.73,779398,0.348,21913
2025-11-06,2063,2858,1964,1610,657.08,144.89,61.06,105.15,777140,0.347,22627
2025-11-07,2104,2950,1957,1636,657.99,143.81,60.3,105.59,778665,0.348,23009
2025-11-08,2104,2902,1952,1636,657.65,145.97,61.66,105.45,792922,0.355,22894
2025-11-09,2104,2950,1977,1637,655.96,144.97,61.0,105.55,786992,0.351,22938
2025-11-10,2084,2797,1965,1628,655.31,144.38,60.61,105.66,778522,0.347,22750
2025-11-11,2072,2884,1947,1610,654.69,142.72,60.08,105.51,786352,0.35,22821
2025-11-12,2030,2804,1877,1598,652.22,145.61,60.68,105.49,766921,0.34,22224
2025-11-13,2077,2857,1951,1609,653.82,147.44,61.59,105.65,781517,0.347,22588
