"Date","BDIY Open","BDIY Low","BDIY High","BDIY Close"
08-28-2025,2017.00,2017.00,2017.00,2017.00
08-29-2025,2025.00,2025.00,2025.00,2025.00
09-01-2025,2024.00,2024.00,2024.00,2024.00
09-02-2025,1986.00,1986.00,1986.00,1986.00
09-03-2025,1940.00,1940.00,1940.00,1940.00
09-04-2025,1963.00,1963.00,1963.00,1963.00
09-05-2025,1979.00,1979.00,1979.00,1979.00
09-08-2025,2019.00,2019.00,2019.00,2019.00
09-09-2025,2079.00,2079.00,2079.00,2079.00
09-10-2025,2112.00,2112.00,2112.00,2112.00
09-11-2025,2111.00,2111.00,2111.00,2111.00
09-12-2025,2126.00,2126.00,2126.00,2126.00
09-15-2025,2153.00,2153.00,2153.00,2153.00
09-16-2025,2154.00,2154.00,2154.00,2154.00
09-17-2025,2180.00,2180.00,2180.00,2180.00
09-18-2025,2205.00,2205.00,2205.00,2205.00
09-19-2025,2203.00,2203.00,2203.00,2203.00
09-22-2025,2172.00,2172.00,2172.00,2172.00
09-23-2025,2200.00,2200.00,2200.00,2200.00
09-24-2025,2240.00,2240.00,2240.00,2240.00
09-25-2025,2266.00,2266.00,2266.00,2266.00
09-26-2025,2259.00,2259.00,2259.00,2259.00
09-29-2025,2220.00,2220.00,2220.00,2220.00
09-30-2025,2134.00,2134.00,2134.00,2134.00
10-01-2025,1980.00,1980.00,1980.00,1980.00
10-02-2025,1909.00,1909.00,1909.00,1909.00
10-03-2025,1901.00,1901.00,1901.00,1901.00
10-06-2025,1932.00,1932.00,1932.00,1932.00
10-07-2025,1947.00,1947.00,1947.00,1947.00
10-08-2025,1963.00,1963.00,1963.00,1963.00
10-09-2025,1923.00,1923.00,1923.00,1923.00
10-10-2025,1936.00,1936.00,1936.00,1936.00
10-13-2025,2144.00,2144.00,2144.00,2144.00
10-14-2025,2022.00,2022.00,2022.00,2022.00
10-15-2025,1997.00,1997.00,1997.00,1997.00
10-16-2025,2046.00,2046.00,2046.00,2046.00
10-17-2025,2069.00,2069.00,2069.00,2069.00
10-20-2025,2071.00,2071.00,2071.00,2071.00
10-21-2025,2094.00,2094.00,2094.00,2094.00
10-22-2025,2092.00,2092.00,2092.00,2092.00
10-23-2025,2057.00,2057.00,2057.00,2057.00
10-24-2025,1991.00,1991.00,1991.00,1991.00
10-27-2025,1976.00,1976.00,1976.00,1976.00
10-28-2025,1950.00,1950.00,1950.00,1950.00
10-29-2025,1961.00,1961.00,1961.00,1961.00
10-30-2025,1983.00,1983.00,1983.00,1983.00
